SPEED,IMEP,ANGLE,VVT,TORQUE,BSFC,COV
1600,1300.42,5.232348633,11.76700439,151.4,256.73,1.84
1600,1296.19,2.94296875,23.54354248,150.5,266.27,1.98
1600,1301.65,4.446264648,35.03383789,151.4,268.43,1.98
1600,1304.19,5.504156886,47.68279294,153.1,305.83,2.44
1600,1403.63,3.14987793,0.183496094,163.9,277.67,1.13
1600,1557.54,1.474023438,12.6552124,182.1,277.6,1.32
1600,1796.19,-0.709692383,24.15351563,210.8,275.57,1.5
1600,1773.87,-1.976074219,35.5793335,209.6,295.32,1.28
1600,1771.5,-1.974243164,47.82387695,210.8,334.52,1.26
,,,,,,
,,,,,,
2000,200.81,28.53876953,0.392773438,16.1,516.12,0.94
2000,199.57,27.77963615,12.88769073,15.6,534.6,1
2000,199.09,33.83637695,24.92381592,14.9,549.56,1.33
2000,199.95,44.59108887,35.94014893,13.7,601.25,15.88
2000,195.76,43.55592234,48.10260172,10.6,884.23,66.08
2000,301.86,25.2064209,0.166723633,27.6,389.86,1.14
2000,302.85,25.54321289,11.75938721,27.6,384.47,0.97
2000,299.14,27.24807129,23.40797119,26.9,385.64,1.2
2000,299.7,37.89253228,34.3692904,26.3,384.31,1.64
2000,300.39,43.71153658,48.03211806,25.5,418.28,13.21
2000,397.9,22.97082844,0.25743349,40.4,325.52,1
2000,398.87,23.30746283,11.57092381,40.5,322.48,0.89
2000,401.96,27.65351135,29.03568809,40.5,315.32,0.95
2000,397.49,32.52384096,35.97641579,39.9,314.55,1.09
2000,402.54,44.10113459,48.15503961,40.1,317.29,3.45
2000,502.24,21.3102993,0.188820423,52.9,298.71,0.88
2000,502.44,21.88955078,11.72166748,52.9,299.11,0.74
2000,500.15,21.94155273,23.48439941,52.4,298.38,0.81
2000,501.27,25.39933001,34.90519855,52.5,293.56,0.96
2000,502.53,34.45717773,48.05961914,52.7,288.24,0.99
2000,602.78,20.14346146,0.255550665,66.2,282.66,0.57
2000,599.53,20.34272461,14.0305542,65.7,281.75,0.55
2000,597.87,20.82646484,25.3644165,65.2,277.64,0.55
2000,601,23.59606934,36.06882324,65.6,275.38,0.57
2000,599.89,28.59956964,47.96675714,65.9,273.41,0.57
2000,702.28,19.56020149,0.18259732,77.8,270.57,0.77
2000,701.04,19.69334409,11.89055164,77.6,268.61,0.74
2000,702.18,19.49312891,24.06404049,77.6,266.54,0.78
2000,702.93,19.35710094,35.55329372,77.6,261.94,0.92
2000,699.41,20.76044922,48.02479248,77.6,263.43,1.08
2000,799.24,17.94865023,0.216402582,90.3,261.13,0.65
2000,799.26,18.43427734,12.32453613,90.4,260.07,1.42
2000,798.46,18.95236698,24.0859864,90.1,258.01,0.57
2000,797.59,18.22664808,35.86817782,89.9,256.46,0.7
2000,802.03,17.71319933,47.81853971,90.9,257.15,0.67
2000,899.24,15.87037852,0.192842821,102.2,254.59,0.83
2000,899.03,15.04489746,11.75338135,102.2,255.12,0.78
2000,900.53,12.43260955,24.00902289,102.4,256.93,1.18
2000,898.87,12.61657715,35.48630371,102,256.88,1.18
2000,897.06,12.27024648,47.97042498,101.9,259.4,1.55
2000,998.17,12.22170872,0.253790102,114.5,257.5,0.96
2000,1000.2,12.26242676,11.91217041,114.8,256.08,1
2000,1001.02,11.06079102,23.6494751,114.8,255.87,1.08
2000,1002.78,11.09176937,35.86329959,115,255.12,1.03
2000,999.25,9.821889671,47.3588615,114.1,259.57,1.27
2000,1101.17,10.34501953,0.260656738,126.9,254.5,1.04
2000,1100.4,9.010172144,11.75742126,127,257.31,1.49
2000,1101.89,8.504785156,23.64984131,127.2,256.66,1.53
2000,1103.92,8.436279297,35.00588379,127.2,259.78,1.47
2000,1102,8.782763672,48.16503906,127.1,264.12,1.78
2000,1201.21,8.569238281,0.275183105,138.8,257.38,1.51
2000,1200.6,8.338859546,11.7146787,139.1,255.72,1.5
2000,1200.48,8.713696289,23.32130127,138.7,253.2,1.32
2000,1202.57,7.093530273,35.92108154,138.3,259.87,1.62
2000,1199.51,7.796899414,47.38024902,137.7,263.71,1.72
2000,1298.47,5.41766921,0.206621674,150.8,262.56,1.96
2000,1298.55,4.751123047,11.75681152,151.1,265.1,2.02
2000,1300.73,5.420430055,23.70464342,151.1,263.5,2.01
2000,1296.67,5.12121582,35.08244629,150.8,268.04,1.99
2000,1299.57,6.033422852,46.58331299,151.6,289.26,2.33
2000,1402.73,5.517092136,0.259817586,162.1,262.24,2.14
2000,1399.71,5.08984375,11.7633667,162.1,261.99,2.12
2000,1402.79,5.665810837,23.55413732,161.6,257.86,1.78
2000,1397.11,5.330712891,34.95526123,160.5,265.83,1.69
2000,1399.26,5.420089984,47.54587246,161.4,294.79,1.24
2000,1501.41,3.213443858,0.192903951,174.7,269.01,2.22
2000,1498.4,1.701513672,11.72211914,174.3,272.95,2.57
2000,1497.36,1.741040039,23.71534424,174.3,271.5,3.03
2000,1504.96,3.736376953,35.10323486,176.7,284.55,2.55
2000,1606.61,-0.037939453,0.01151123,185.1,286.03,2.36
2000,1606.04,-0.726428013,13.27700753,184.6,284.44,2.21
2000,1599.6,-0.587890625,24.1605957,185,283.53,1.72
2000,1599.68,0.012446205,36.07931094,188.4,309.32,2.23
2000,1606.67,-3.949926758,47.57788086,194,423.33,4.04
2000,1701.38,-1.234179688,0.171069336,199.8,294.25,1.94
2000,1704.09,-3.231982422,11.73059082,200,300.98,2.78
2000,1704.92,-3.143705986,23.69764769,201,301.04,2.07
2000,1795.08,-3.943261719,0.006481934,209.3,320.28,2.36
2000,1813.62,-4.566308594,13.47764893,210.5,318.05,2.12
2000,1821.34,-3.826464844,24.11923828,212.9,303.49,1.84
2000,1773.7,-4.952832031,36.25257568,212.2,352.21,2.53
,,,,,,
,,,,,,
2400,200.59,29.1153169,0.096060739,15,546.71,1.28
2400,197.97,30.26203613,13.77495117,14.5,564.67,1.52
2400,199.86,33.665982,24.05742615,14.3,562.55,1.58
2400,200.97,44.62272594,35.39463517,12.9,619.71,4.61
2400,204.35,44.3222168,47.0112793,11.5,784.63,41.31
2400,299.92,26.62980957,0.167919922,26.8,401.52,1.36
2400,301.66,27.17695313,12.60626221,26.8,400.91,1.34
2400,297.87,28.41242676,24.13205566,26.3,398.02,1.71
2400,301.66,37.80070801,35.99088135,26.2,391.49,1.6
2400,299.94,42.89042969,47.98553467,24.4,430.72,7.83
2400,401.98,23.92714844,0.12121582,39.7,337.27,1.21
2400,403.33,23.69569151,13.34540053,39.6,336.84,1.22
2400,403.07,26.12084311,24.82706133,39.6,333.22,1.56
2400,401.73,28.83286133,36.20522461,39.4,329.38,1.76
2400,400.44,40.55698242,47.95844727,38.5,326.22,2.29
2400,501.54,21.82368164,0.055041504,53,302.09,0.92
2400,500.95,23.24131944,12.08927523,53,300.29,0.92
2400,499.55,23.85695423,23.90508852,52.7,297.85,1.09
2400,499.64,25.8236084,35.37897949,52.6,293.3,0.96
2400,498.33,31.02670898,46.81317139,52.6,291.52,0.83
2400,601.56,21.06379395,0.086547852,64.7,287.47,1.24
2400,600.04,21.5247457,11.92637422,64.4,286.99,1.21
2400,599.2,21.93359375,23.67747803,64.2,283.89,1.43
2400,599.73,22.72068173,35.10549932,64.2,282.22,1.5
2400,600.16,25.91862793,47.94418945,64.5,277.39,1.8
2400,701.52,19.56389378,0.047730829,77.9,274.46,0.78
2400,700.06,19.95915527,12.06672363,77.7,272.9,0.86
2400,701.23,20.36704102,23.87362061,77.7,269.9,0.77
2400,701.39,20.43011541,35.41765698,77.6,268.39,0.78
2400,694.55,22.353482,46.90625,76.9,265.04,0.77
2400,799.78,18.22736816,0.087866211,89.2,265.07,1.09
2400,800.46,18.6578883,11.77243496,89.2,265.82,1.14
2400,797.38,18.23015137,23.37564697,88.6,263.71,1.47
2400,796.7,15.67588517,34.82149844,88.6,265.11,1.71
2400,802.33,15.38972027,47.87641823,89.3,265.41,1.63
2400,901.07,15.94382324,0.041296387,102.6,261.2,0.85
2400,899.44,15.79743652,12.1369751,102.3,259.43,0.76
2400,898.21,15.7941608,23.83337001,102.1,258.09,0.95
2400,898.72,14.35957062,35.30439407,102.1,258.73,1.06
2400,900.18,13.47048611,46.68423562,102.1,261.12,1.01
2400,998.73,13.43813477,0.132409668,113.7,258.32,1.21
2400,1004.73,12.73420383,11.82767263,114.5,259.56,1.25
2400,998.34,10.28029785,23.66369629,113.7,262.9,1.56
2400,998.13,11.03120117,35.19984131,113.7,261.93,1.61
2400,1001.76,10.47526855,47.9237915,114.1,263.42,2.08
2400,1098.24,10.91494141,0.121069336,125.9,258.93,1.55
2400,1104.61,11.09829102,11.70891113,126.6,258.19,1.32
2400,1104.49,9.468334311,24.13864437,126.4,260.14,1.83
2400,1100.3,10.1355957,35.63096924,126.1,258.75,1.65
2400,1096.33,10.56796875,47.57355957,125.3,260.71,1.77
2400,1198.77,10.85186815,0.025344777,138.8,259.41,1.12
2400,1200.62,9.651000977,11.96445313,138.9,257.91,1.33
2400,1203.81,9.286776213,23.60888595,138.6,259.15,1.39
2400,1199.61,9.482072884,35.7471346,137.6,259.5,1.42
2400,1202.8,9.898767606,47.19840571,138.1,260.51,1.3
2400,1304.38,8.200264085,0.141358568,150.6,259.56,1.75
2400,1302.14,7.643701172,11.70614014,150.9,260.87,2.02
2400,1302.89,6.743725586,23.55400391,150.5,263.9,2
2400,1299.28,7.120843114,34.97646469,150.1,268.52,2.14
2400,1299.04,8.642626953,46.35058594,150.5,278.53,2.09
2400,1401.11,8.442871094,0.006994629,161.4,257.68,1.76
2400,1400.82,7.123657227,12.09775391,161.6,261.07,1.96
2400,1401.29,6.731445313,24.19196777,161.2,260.4,2.01
2400,1401.72,7.072607422,36.07120361,161.3,264.73,1.67
2400,1403.19,6.055995696,47.24795824,165.2,319.32,0.87
2400,1498.66,4.539794922,0.078222656,173.3,271.11,2.26
2400,1499.58,4.541137695,11.67122803,173.9,268.91,2.45
2400,1499.51,4.514280125,23.55729167,173.6,267.51,2.33
2400,1701.79,1.978344727,0.057421875,200,287.84,1.95
2400,1702.24,0.330224609,11.67054443,199.8,293.92,1.93
2400,1704.37,1.012299491,23.53060201,199.4,278.45,1.76
2400,1700.95,0.617982199,34.99179626,199.8,302.1,1.55
2400,1708.19,-0.479345703,46.49754639,201.4,349.87,1.84
2400,1776.05,-0.481762695,0.060095215,209.3,318.43,1.81
2400,1791.85,-0.972148865,11.70082649,211,310.88,2.15
2400,1791.76,-1.301831055,23.58786621,209.5,308.6,1.61
2400,1779.47,0.00090332,34.93834229,209.5,307.59,1.6
